filename,segment,location ,split 
Middle-JV.P01.S02.TL.09.NOWEB - FINAL,ND-1,0,b
Middle-JV.P01.S02.TL.09.NOWEB - FINAL,ND-1,0.09,b
Middle-JV.P01.S02.TL.09.NOWEB - FINAL,AR-1,0.18,b
Middle-JV.P01.S02.TL.09.NOWEB - FINAL,ND-1,0.27,b
Middle-JV.P01.S02.TL.09.NOWEB - FINAL,AR-1,0.36,b
Middle-JV.P01.S02.TL.09.NOWEB - FINAL,ND-1,0.45,b
Middle-JV.P01.S02.TL.09.NOWEB - FINAL,AR-1,0.55,e
Middle-JV.P01.S02.TL.09.NOWEB - FINAL,ND-1,0.64,e
Middle-JV.P01.S02.TL.09.NOWEB - FINAL,AR-1,0.73,e
Middle-JV.P01.S02.TL.09.NOWEB - FINAL,ND-1,0.82,e
Middle-JV.P01.S02.TL.09.NOWEB - FINAL,AR-1,0.91,e
Middle-JV.P01.S02.TL.09.NOWEB - FINAL,SR,1,e
segment,segment,,
Middle-JV.P02-FINAL,ND-1,0,b
Middle-JV.P02-FINAL,AR-1,0.05,b
Middle-JV.P02-FINAL,ND-1,0.1,b
Middle-JV.P02-FINAL,AR-1,0.14,b
Middle-JV.P02-FINAL,ND-1,0.19,b
Middle-JV.P02-FINAL,AR-1,0.24,b
Middle-JV.P02-FINAL,ND-2/3,0.29,b
Middle-JV.P02-FINAL,AR-1,0.33,b
Middle-JV.P02-FINAL,ND-1,0.38,b
Middle-JV.P02-FINAL,AR-1,0.43,b
Middle-JV.P02-FINAL,ND-1,0.48,b
Middle-JV.P02-FINAL,AR-1,0.52,e
Middle-JV.P02-FINAL,ND-1,0.57,e
Middle-JV.P02-FINAL,ND-2/3,0.62,e
Middle-JV.P02-FINAL,CE-1,0.67,e
Middle-JV.P02-FINAL,AR-2/3,0.71,e
Middle-JV.P02-FINAL,SR,0.76,e
Middle-JV.P02-FINAL,AR-1,0.81,e
Middle-JV.P02-FINAL,ND-1,0.86,e
